disc_year,Pulsar Timing,Radial Velocity,Transit,Imaging,Microlensing,Pulsation Timing Variations,Eclipse Timing Variations,Orbital Brightness Modulation,Transit Timing Variations,Astrometry,Disk Kinematics,TotalDiscovered
1992,6,0,0,0,0,0,0,0,0,0,0,6
1994,2,0,0,0,0,0,0,0,0,0,0,2
1995,0,5,0,0,0,0,0,0,0,0,0,5
1996,0,41,0,0,0,0,0,0,0,0,0,41
1997,0,4,0,0,0,0,0,0,0,0,0,4
1998,0,39,0,0,0,0,0,0,0,0,0,39
1999,0,80,0,0,0,0,0,0,0,0,0,80
2000,0,77,0,0,0,0,0,0,0,0,0,77
2001,0,58,0,0,0,0,0,0,0,0,0,58
2002,0,134,10,0,0,0,0,0,0,0,0,144
2003,1,86,0,0,0,0,0,0,0,0,0,87
2004,0,112,53,6,2,0,0,0,0,0,0,173
2005,0,153,0,1,7,0,0,0,0,0,0,161
2006,0,72,66,7,3,0,0,0,0,0,0,148
2007,0,128,192,1,0,1,0,0,0,0,0,322
2008,0,112,181,28,9,0,0,0,0,0,0,330
2009,0,191,225,0,5,0,2,0,0,0,0,423
2010,0,108,475,14,4,0,4,0,0,0,0,605
2011,1,105,912,3,2,0,7,2,3,0,0,1035
2012,0,92,999,3,15,0,1,0,2,0,0,1112
2013,0,57,913,16,13,0,0,13,3,1,0,1016
2014,0,99,8802,2,14,0,0,3,108,0,0,9028
2015,0,106,785,11,10,0,2,0,0,0,0,914
2016,0,84,12742,2,49,1,0,0,1,0,0,12879
2017,2,68,471,5,29,0,1,0,1,0,0,577
2018,0,68,856,5,56,0,1,0,1,0,0,987
2019,0,102,380,5,61,0,2,0,3,0,1,554
2020,0,58,776,4,51,0,0,0,1,0,0,890
2021,0,100,2505,10,41,0,0,3,1,0,0,2660
2022,0,140,453,5,172,0,2,0,3,1,0,776
2023,0,69,821,9,83,0,2,0,11,1,0,996
2024,1,23,325,11,63,0,0,0,5,0,0,428
